Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,274,0,3528,84,586,0,12,0,1,1,1,1,828,0
1,4,3510,0,106155,2585,3958,11,22,0,1,1,1,0,159,0
1,4,843,0,5348,11,115,1,19,-1,1,1,1,0,10,0
1,4,606,0,1684,149,410,1,18,0,1,1,1,0,1027,0
1,4,434,0,11827,96,260,0,12,0,1,2,2,0,300,0
1,4,411,0,58245,677,690,0,21,0,1,0,1,0,8,0
1,4,1952,0,13603,386,915,3,24,0,1,0,1,1,0,0
1,4,418,0,505,23,193,0,22,0,1,0,1,0,535,0
1,4,3014,0,76777,221,2137,1,18,0,1,0,1,3,2602,0
1,4,4586,0,44983,228,787,4,11,0,0,0,0,0,0,0
1,4,1803,0,984,224,1095,0,15,0,1,0,1,1,24,0
1,4,1958,0,957,26,379,1,51,0,1,0,1,0,0,0
1,4,153,0,5329,123,127,2,12,0,0,0,0,0,0,0
1,4,2545,0,43160,1305,1853,2,18,0,1,0,1,3,2602,0
1,4,4980,0,12849,172,640,1,10,-1,1,0,1,0,0,0
1,4,4076,0,99371,815,1268,5,23,-0.333,0,0,0,0,0,0
1,4,839,0,289,19,455,0,16,0,1,0,1,4,53,0
1,4,110,0,215,17,18,0,16,0,1,0,1,4,53,0
1,4,4706,0,42693,281,654,2,23,-0.333,1,0,1,0,1,0
1,4,3538,0,5007,197,174,1,18,0,1,0,1,3,2602,0
1,4,1502,0,645980,139,2446,7,10,0,1,0,1,0,97,0
1,4,196,0,847,54,189,1,27,1,1,0,2,1,0,0
1,4,332,0,211,0,62,6,22,0,1,0,2,0,0,0
1,4,4397,0,254421,195,866,7,10,0,1,0,1,0,97,0
1,4,4616,0,1396,52,293,0,15,0,1,0,1,0,0,0
1,4,2726,0,2176,172,297,1,18,0,1,0,1,3,2602,0
1,4,1770,0,7210,225,760,1,18,0,1,0,1,3,2602,0
1,4,4380,0,37411,1873,1132,5,18,0,1,0,1,3,2602,0
1,4,3154,0,1097,244,286,0,18,0,1,0,1,3,2602,0
1,4,3368,0,5094,73,552,13,20,1,1,0,1,1,14,0
1,4,5093,0,884,439,2531,11,28,0,1,0,1,0,0,0
1,4,206,0,141,13,176,0,15,0,1,0,1,1,24,0
1,4,1561,0,556,25,27,0,17,0,0,0,0,0,0,0
1,4,4736,0,58754,253,153,38,18,0,1,0,1,3,2602,0
1,4,246,0,515,151,281,0,16,0,1,0,1,2,5,0
1,4,739,0,14457,37,303,0,18,0,1,0,1,3,2602,0
1,4,1821,0,505,28,472,0,20,1,1,0,1,0,5,0
1,4,4799,0,32687,543,668,14,24,0,1,0,1,0,56,0
1,4,2175,0,12305,153,551,0,19,0,1,0,1,0,2,0
1,4,3467,0,51761,2245,2134,17,9,-1,1,0,1,0,0,0
1,4,967,0,21562,908,207,2,20,0,1,0,1,0,15,0
1,4,1108,0,134088,594,4519,2,18,0,1,0,1,3,2602,0
1,4,1255,0,5897,251,190,0,18,0,1,0,1,3,2602,0
1,4,533,0,53,0,8,0,25,-1,1,0,1,0,0,0
1,4,487,0,76348,114,162,1,12,0,0,0,0,0,0,0
1,4,4940,0,141535,1154,967,18,9,0,1,0,1,0,1,0
