Twitter User Duration,Verified User,User Tweet Count,User Followers,Community
1181,0,330,3671,9
2903,0,26034,275,9
2444,0,9418,143,9
3787,0,100914,40562,9
221,0,1833,4,9
70,0,410,37,9
2031,0,35914,4017,9
348,0,27250,976,9
4056,0,5067,283133,9
4951,1,67621,549119,9
3160,0,36109,4878,9
264,0,6460,273,9
4884,0,152622,27518,9
27,0,3334,149,9
1080,0,968,5,9
106,0,1739,30,9
4808,0,71,487,9
2773,0,29198,181,9
1726,0,11,114,9
308,0,4762,55,9
38,0,423,0,9
1910,0,760,538,9
3821,1,26061,1150193,9
324,0,2664,14,9
145,0,226,3,9
5015,1,48072,111268,9
574,0,1306,28,9
4092,0,4693,327,9
4667,1,6584,58000,9
2067,0,768,64,9
1073,0,76568,173765,9
3969,0,336,66,9
300,0,19,9,9
2690,0,649,14,9
280,0,1786,20396,9
13,0,21,0,9
5726,1,391194,20365285,9
5633,1,72354,135207,9
3926,1,44,3026,9
774,1,275,114302,9
1577,0,139,5,9
5009,1,59152,87850065,10
5122,1,17578,3532924,10
690,1,4720,28134247,10
220,0,845,148,10
2549,0,156,87,10
4919,0,2468,58,10
4868,1,53668,328165,10
32,0,1496,115,10
4179,1,7270,299703,10
5014,0,11227,13492,10
129,0,990,29,10
3411,1,132415,1130616,10
1798,0,91470,1317,10
877,0,15813,220053,10
4455,0,15888,4562,10
4961,0,65590,444,10
2134,1,14872,547902,10
3947,0,2214,33,10
223,0,816,24,10
5021,1,40267,5749665,10
222,0,12416,269,10
1245,0,222,1510,10
2832,0,4190,17005,10
3464,0,20430,1168,10
267,0,9332,203,10
2206,0,2842,135,10
4889,1,137115,963399,10
3463,1,58319,1207776,10
241,0,622,1,10
2322,0,521,280,10
458,0,3825,4,10
4954,0,4270,277,10
15,0,1,15,10
668,0,27011,1298,10
536,0,44133,8355,10
4260,0,4714,242,10
851,0,41139,1678,10
2138,0,25267,7674,10
4124,1,193447,1085127,10
3272,0,702,7,10
1067,0,18329,1482500,10
2770,0,2331,98,10
294,0,12120,209381,10
3613,1,24615,782788,10
3316,0,1843,1301,10
4343,0,1483,6,10
82,0,10451,1233,10
5097,1,62086,1873704,10
297,0,10212,2106,10
2713,0,16147,496,10
764,0,5857,239,10
4056,0,114685,315,10
5470,1,52446,3192361,10
5035,0,15,97,10
1204,0,39211,20044,10
149,0,16749,2990,10
228,0,1348,671,10
389,0,977,194,10
454,0,100,4,10
854,0,972,4,10
565,0,821,5381,10
4960,1,6768,612141,10
331,0,67,11,10
79,0,391,1320,10
4992,0,8672,570,10
1703,0,22075,14733,10
72,0,58273,1712,10
2100,0,1632,1223,10
2189,0,1433,15,10
3637,0,141217,15164,10
1628,0,29295,1013149,10
45,0,237,6,11
5302,1,83370,3405049,11
4910,1,6423,8071619,11
3267,1,6777,5070126,11
5023,1,22827,2578678,11
154,0,13,10,11
4562,1,5239,1305066,11
5252,1,14389,51255321,11
196,0,2,11,11
149,0,105,5,11
265,0,70,9,11
298,0,1,3,11
204,0,16,4,11
186,0,47,26,11
149,0,1414,38,11
160,0,601,31,11
128,0,141,8,11
144,0,968,41,11
437,0,40,5,11
151,0,33,24,11
411,0,1269,41,12
699,0,2386,25,12
1282,0,59240,232,12
1999,0,68555,980,12
750,0,2893,10537,12
3671,1,4046,8479456,12
4336,1,2931,3735320,12
4256,1,5339,2576979,12
3223,1,647,2717581,12
3220,0,129158,1516507,12
3831,0,205961,1674552,12
1383,1,12318,30139,12
4548,1,42308,59645303,13
172,0,1622,316,13
815,0,2850,41,13
29,0,494,137572,13
769,0,21513,222,13
2477,0,2412,33,13
1645,0,88,11,13
5034,0,10815,399,13
152,0,514,17240,13
31,0,101,0,13
1326,0,12651,2884,13
1625,0,9702,282,13
375,0,187,7,13
805,0,29,1,13
4992,0,15307,384,13
4958,0,29510,30637,13
4892,0,21347,1568,13
4638,0,81462,15049,13
472,0,960,168,13
1544,1,6829,78970,13
914,0,1393,31,13
59,0,7524,157,13
257,0,513,32,13
266,0,7229,756,13
2394,0,2253,30128,13
4872,0,59519,10398,13
1382,0,11273,580,13
2754,0,322,104,13
946,0,29,2,13
30,0,32,49,13
2012,0,6951,94,13
21,0,10,0,13
571,0,328,23,13
1175,0,4501,106,13
25,0,36,23,13
1313,0,174,6,13
4888,1,13243,110042,13
67,0,1329,36,13
4994,1,459875,668429,13
5479,1,390293,6208407,13
4299,0,134,16,13
5018,1,30025,2089006,13
12,0,409,1,13
4822,1,73627,566480,13
639,0,4631,1310,13
4293,0,47818,427,13
552,0,9,1,13
10,0,2,48,13
1575,1,561,139934,13
4563,1,2518,4491084,13
4924,1,259024,905069,13
3499,0,13160,231,13
4623,0,25492,467,13
113,0,27632,646,13
4918,0,108539,38058,13
46,0,22,0,13
4534,0,1384,90,13
342,0,4255,155,13
1382,0,6203,175,13
1302,0,3243,130,13
2146,0,40423,128,13
544,0,6085,11935,13
4555,0,2572,124,13
389,0,20,0,13
2244,0,23664,1887,13
4440,0,270656,6183,13
5030,0,46160,183938,13
4700,0,93021,2564,13
4631,1,15366,10646064,13
981,0,4267,28,13
2004,0,442,8,13
760,0,24698,215,13
1580,0,25440,2579,13
951,0,623,46,13
2367,0,48357,214,13
426,0,4,0,13
1967,0,743,1592,13
799,0,1473,418,13
413,0,4917,216,13
3040,1,789,982958,13
10,0,18,11,13
480,0,1449,41,13
222,0,654,10,13
1922,1,4361,1408721,14
3473,0,144,124,14
3804,1,85824,45766778,14
806,0,11582,257,14
4779,0,246326,5916,14
4419,0,76587,61489,14
2634,0,104423,7810,14
64,0,617,17,14
4663,1,56400,889146,14
5576,0,7127,2785,14
4975,1,99883,1498745,14
771,0,18361,836,14
1483,0,2691,20,14
3764,0,2516,214,14
170,0,2968,419,14
4402,0,20977,14333,14
4148,1,143950,37698895,14
3735,1,38207,2621359,14
221,0,1905,189,14
2468,0,5443,1282,14
458,0,1364,89,14
4190,0,7832,55,14
59,0,1822,53,14
1249,0,5227,323,14
142,0,1504,52,14
4329,1,28597,181592,14
1678,0,113,6,14
1863,0,3588,150,14
2467,0,1129,49,14
4155,0,55,11,14
1903,0,26069,432,14
73,0,4,3,14
1400,0,44653,2500,14
1196,0,51,5,14
736,0,15930,66,14
547,0,12448,275,14
2314,0,22331,2120,14
231,0,50,6,14
2492,0,5899,236,14
639,0,333,8,14
3044,0,48108,1119,14
4893,0,143666,1693,14
656,0,24167,3861,15
2821,0,5984,109,15
4357,0,21443,960,15
4284,0,3819,53,15
221,0,2600,3024,15
2879,0,10292,10475,15
294,0,6212,302,15
220,0,7926,10896,15
93,0,16507,2754,15
33,0,3566,1468,15
63,0,17926,1379,15
97,0,21824,4131,15
1412,0,61845,5263,15
2498,0,135843,19559,15
2372,0,28399,30462,15
724,0,18472,5076,15
244,0,7500,6840,15
223,0,10041,4078,15
4080,0,113563,40678,15
557,0,18570,12530,15
652,0,4749,2260,15
3582,0,23989,1461,15
1377,0,25380,5113,15
920,0,29444,12704,15
4890,0,23744,6369,15
3716,0,2483,1985,15
270,0,24379,3044,15
4915,0,6582,8737,15
1185,0,16884,28932,15
3639,0,50169,20581,15
460,0,3724,3565,15
931,0,85661,63152,15
704,1,2884,1645082,15
22,0,176,7,16
4591,1,15483,835229,16
3335,1,1559,1547020,16
4877,1,5311,29429823,16
2135,1,1130,1708607,16
3959,1,2785,2926225,16
107,0,196,4377,16
